release_id,instance_id,date_added,album_title,album_artist,year,Origem,PA,DJ,$,Recebido?,Notas
8270177,2025747891,2025-05-23T21:20:02-07:00,The Art Of Marvin Gaye,Marvin Gaye,1984,Outros,,,,,
9567533,2025748909,2025-05-23T21:28:54-07:00,Quartetos de Cordas Nº 1 E 5,Quarteto Bessler-Reis,1980,,,,,,
1164596,2026597244,2025-05-26T07:51:38-07:00,Bem-Vinda Amizade,Jorge Ben,1981,,,,,,
1892641,2026597990,2025-05-26T07:53:41-07:00,Saúde,Rita Lee & Roberto,1981,,,,,,
2240765,2026598330,2025-05-26T07:54:41-07:00,Rita Lee,Rita Lee,1980,,,,,,
2680847,2026599405,2025-05-26T07:57:50-07:00,Ănĭmă,Milton Nascimento,1982,,,,,,
5600660,2026599863,2025-05-26T07:59:14-07:00,E W & F,"Earth, Wind & Fire",1984,,,,,,
12486184,2026600363,2025-05-26T08:00:38-07:00,A Portrait Of Ray,Ray Charles,1968,,,,,,
7547487,2026600559,2025-05-26T08:01:13-07:00,Love Country Style,Ray Charles,1970,,,,,,
16540851,2026601576,2025-05-26T08:04:36-07:00,Soul Box,"Grover Washington, Jr.",1974,,,,,,
2007337,2026602077,2025-05-26T08:06:10-07:00,Between The Sheets,The Isley Brothers,1983,,,,,,
4566191,2026602255,2025-05-26T08:06:45-07:00,Fases,Bebeto,1985,,,,,,
118664,2026602703,2025-05-26T08:08:04-07:00,Keep On Movin,Soul II Soul,1989,,,,,,
873425,2026603186,2025-05-26T08:09:31-07:00,Diana & Marvin,Diana Ross,1973,,,,,,
24812033,2026603417,2025-05-26T08:10:13-07:00,Ndeda,Quincy Jones,1972,,,,,,
365838,2026603944,2025-05-26T08:11:37-07:00,Love Is The Message,MFSB,1973,,,,,,
3549733,2026604487,2025-05-26T08:13:15-07:00,Revolution Of The Mind (Recorded Live At The Apollo Vol. III),James Brown,1971,,,,,,
717306,2026605713,2025-05-26T08:16:58-07:00,At Peace With Woman,The Jones Girls,1980,,,,,,
337636,2026606271,2025-05-26T08:18:37-07:00,We Are Family,Sister Sledge,1979,,,,,,
25881277,2026607403,2025-05-26T08:22:04-07:00,Donuts,J Dilla,2022,,,,,,
1585368,2026607981,2025-05-26T08:23:36-07:00,The Best Of The Stylistics,The Stylistics,1975,,,,,,
708377,2026609264,2025-05-26T08:27:27-07:00,Person To Person,Average White Band,1976,,,,,,
421870,2026609521,2025-05-26T08:28:13-07:00,Light Up The Night,Brothers Johnson,1980,,,,,,
457276,2026609808,2025-05-26T08:29:01-07:00,Chaka,Chaka Khan,1978,,,,,,
6484114,2026610289,2025-05-26T08:30:28-07:00,Frantic Situation,Afrika Bambaataa & Soulsonic Force,1984,,,,,,
94532,2026610852,2025-05-26T08:31:35-07:00,The Glow Of Love,Change,1980,,,,,,
506443,2026637270,2025-05-26T09:50:03-07:00,Trouble Man,Marvin Gaye,1972,,,,,,
18566905,2028524283,2025-06-01T08:38:45-07:00,14 Sucessos De Bee Gee’s,The Davie's,1979,,,,,,
1719156,2028524420,2025-06-01T08:39:09-07:00,Lionel Richie,Lionel Richie,1983,,,,,,
7989976,2028524529,2025-06-01T08:39:30-07:00,Stevie Wonder's Greatest Hits Vol. 2,Stevie Wonder,1981,,,,,,
7408083,2028524895,2025-06-01T08:40:32-07:00,How Long Has This Been Going On?,Sarah Vaughan,1979,,,,,,
8825726,2029899481,2025-06-05T20:24:53-07:00,Tim Maia,Tim Maia,2016,,,,,,
4538995,2029899575,2025-06-05T20:25:36-07:00,Louco Amor,Lady Zu,1989,,,,,,
2388225,2039005751,2025-07-06T13:22:43-07:00,Journey To Dawn,Milton Nascimento,1979,,,,,,
2669548,2039006536,2025-07-06T13:24:59-07:00,Mel,Maria Bethânia,1979,,,,,,
865849,2039007140,2025-07-06T13:26:49-07:00,Minha Voz,Gal Costa,1982,,,,,,
2406598,2039007377,2025-07-06T13:27:30-07:00,Personalidade,Elis Regina,1987,,,,,,
3015122,2039008549,2025-07-06T13:31:00-07:00,Malícia,Bebeto,1980,,,,,,
9330823,2043199944,2025-07-20T17:33:58-07:00,Off The Wall,Michael Jackson,2016,,,,,,
3050893,2043200443,2025-07-20T17:36:35-07:00,The Best Of Jovem Pan 2,Various,1986,,,,,,
624849,2043200666,2025-07-20T17:37:42-07:00,Furacão 2000,Various,1988,,,,,,
1929627,2043201055,2025-07-20T17:39:46-07:00,Furacão 2000,Various,1994,,,,,,
19321081,2043201247,2025-07-20T17:40:44-07:00,M.P.B. Especial,Various,1977,,,,,,
15157705,2043201328,2025-07-20T17:41:15-07:00,Furacão 2000,Various,1995,,,,,,
34512307,2043201537,2025-07-20T17:42:24-07:00,Arthur Verocai,Arthur Verocai,2025,,,,,,
26284916,2043201666,2025-07-20T17:43:05-07:00,"Não Chore Mais = No Woman, No Cry",Gilberto Gil,1979,,,,,,
34607353,2045616338,2025-07-28T13:17:55-07:00,Refazenda,Gilberto Gil,2025,,,,,,
153378,2045998907,2025-07-29T18:24:07-07:00,The Anthology,A Tribe Called Quest,1999,Amazon,Não,Sim,150,Sim,
19239142,2047481059,2025-08-03T09:15:19-07:00,The Genius Of Love,Tom Tom Club,1981,,,,,,
3547218,2047481404,2025-08-03T09:16:14-07:00,Dádiva,Jorge Ben,1983,,,,,,
3201929,2047481556,2025-08-03T09:16:39-07:00,Bruno Maia,Bruno Maia,1990,,,,,,
34860737,2065065085,2025-09-27T14:50:32-07:00,Exagerado,Cazuza,2025,,,,,,
35181346,2065065351,2025-09-27T14:51:26-07:00,Saci Pererê,Banda Black Rio,2025,,,,,,
6530420,2065065633,2025-09-27T14:52:28-07:00,O Som Do Copa 7,Copa 7,1979,,,,,,
4882387,2065066602,2025-09-27T14:56:03-07:00,VARIG 1927-1987,Fogueira Três,1987,,,,,,
2249988,2065067310,2025-09-27T14:58:56-07:00,In Full Gear,Stetsasonic,1988,,,,,,
2778896,2065082224,2025-09-27T16:01:02-07:00,Knowledge Is King,Kool Moe Dee,1989,,,,,,
2440167,2065082870,2025-09-27T16:03:54-07:00,Hot Mix,Various,1989,,,,,,
455051,2065083058,2025-09-27T16:04:41-07:00,Let's Roller,Various,1980,,,,,,
9407009,2065083298,2025-09-27T16:05:45-07:00,Pop Classics 3,Various,1992,,,,,,
7861004,2065083681,2025-09-27T16:07:30-07:00,Hits Explosion,Various,1989,,,,,,
558139,2065085613,2025-09-27T16:15:46-07:00,Disco Fire,Various,1978,,,,,,
5543852,2065085931,2025-09-27T16:17:14-07:00,Superparade,Various,1982,,,,,,
1348063,2065086136,2025-09-27T16:18:09-07:00,Overdoze,Various,1986,,,,,,
2863188,2065086303,2025-09-27T16:19:01-07:00,Band Dance,Various,1988,,,,,,
980226,2065086453,2025-09-27T16:19:46-07:00,Top Surprise,Various,1994,,,,,,
31402985,2065086543,2025-09-27T16:20:12-07:00,Super Hits 3,Various,1994,,,,,,
557357,2065086732,2025-09-27T16:21:06-07:00,New York City Discotheque 2,Various,1977,,,,,,
2878655,2065086905,2025-09-27T16:21:51-07:00,Hit Parade 4,Various,1982,,,,,,
255874,2065087299,2025-09-27T16:23:43-07:00,True Blue,Madonna,1986,,,,,,
4197988,2065087519,2025-09-27T16:24:41-07:00,SGP Soul Grand Prix,Various,1986,,,,,,
1638445,2065088014,2025-09-27T16:27:03-07:00,"Earth, Wind & Fire In Brazil","Earth, Wind & Fire",1980,,,,,,
557007,2065088162,2025-09-27T16:27:45-07:00,Djavan,Djavan,1989,,,,,,
16465506,2065088816,2025-09-27T16:30:37-07:00,A Arte De Jorge Ben,Jorge Ben,0,,,,,,
31695398,2065089635,2025-09-27T16:34:15-07:00,360 Degrees Of Billy Paul,Billy Paul,1973,,,,,,
30597451,2065089734,2025-09-27T16:34:44-07:00,O Melhor De Ed Lincoln,Ed Lincoln,0,,,,,,
2488238,2065090040,2025-09-27T16:36:10-07:00,Chic,Chic,1978,,,,,,
7558591,2065090556,2025-09-27T16:38:28-07:00,"The Music From ""Peter Gunn""",Henry Mancini,1959,,,,,,
6567726,2065090635,2025-09-27T16:38:57-07:00,Tempo's,Bebeto,1987,,,,,,
2868359,2065090745,2025-09-27T16:39:28-07:00,Cheio De Razão,Bebeto,1978,,,,,,
2837286,2065091005,2025-09-27T16:40:49-07:00,Sun City,Artists United Against Apartheid,1985,,,,,,
2491153,2065091148,2025-09-27T16:41:29-07:00,Toca Toca Mundial,Various,1985,,,,,,
2665607,2065092061,2025-09-27T16:45:46-07:00,Sandra Sá,Sandra De Sá,0,,,,,,
2974300,2065102040,2025-09-27T17:37:06-07:00,New York City Disco,Various,1976,,,,,,
35371936,2074281716,2025-10-27T13:36:07-07:00,Depois Que A Água Baixou,Igor Babidi,2025,,,,,,
35442007,2074281953,2025-10-27T13:36:49-07:00,Estopim,Chico Chico,2025,,,,,,
2665251,2078980710,2025-11-11T05:08:47-08:00,Give Me The Night,George Benson,0,,,,,,
4275146,2078980836,2025-11-11T05:09:24-08:00,Cerrone 3 - Supernature,Cerrone,1977,,,,,,
5003251,2078980933,2025-11-11T05:09:58-08:00,Sons Of Soul,Tony! Toni! Toné!,1993,,,,,,
801360,2078981252,2025-11-11T05:11:17-08:00,Nova História Da Música Popular Brasileira - Johnny Alf E Os Precursores Da Bossa Nova,Various,1979,,,,,,
326537,2087177072,2025-12-06T13:53:19-08:00,Dreamland,Black Box,1990,,,,,,
4267914,2087177249,2025-12-06T13:53:49-08:00,The Best Funky In Town Vol. 2,Various,1980,,,,,,
2386570,2087177361,2025-12-06T13:54:09-08:00,We Are The World,USA For Africa,1985,,,,,,
6917975,2087177581,2025-12-06T13:54:46-08:00,Forecast,Eric Gale,1973,,,,,,
35731924,2087395117,2025-12-07T06:43:12-08:00,Acabou Chorare,Os Novos Baianos,2025,,,,,,
6784951,2087504819,2025-12-07T11:27:39-08:00,Realce,Gilberto Gil,1979,,,,,,
5822800,2091105469,2025-12-19T06:07:54-08:00,Swing Gostoso E Natural,Dhema,1991,,,,,,
2580075,2091105646,2025-12-19T06:08:36-08:00,O Melhor De Marina,Marina Lima,1988,,,,,,
2884247,2091105974,2025-12-19T06:10:03-08:00,Something's On Your Mind,D-Train,1984,,,,,,
2635366,2091106059,2025-12-19T06:10:22-08:00,Vale Tudo,Sandra De Sá,1983,,,,,,
10639232,2091106161,2025-12-19T06:10:40-08:00,Prelude,Eumir Deodato,1973,,,,,,
3608764,2091106356,2025-12-19T06:11:31-08:00,Sentimento,MC Polmel,1993,,,,,,
20706427,2091106497,2025-12-19T06:12:07-08:00,Funk Montagem,Various,1994,,,,,,
8131475,2091106984,2025-12-19T06:14:07-08:00,The Best Of Sade,Sade,2016,Rio Records,Não,Sim,450,,
497427,2091117085,2025-12-19T06:52:32-08:00,O Melhor De Tim Maia,Tim Maia,1985,Cristiano,Eventualmente,Parcial,,Sim,"Pulando

DJ: 3, 5, 7, 8, 9"
2250960,2106738390,2026-01-25T16:41:51-08:00,To The Extreme,Vanilla Ice,1990,,,,,,
2216599,2106738559,2026-01-25T16:42:26-08:00,Lambateria Tropical 2,Various,1989,,,,,,
1375560,2106738866,2026-01-25T16:43:48-08:00,A Secret Place,"Grover Washington, Jr.",1976,,,,,,
8562151,2106739017,2026-01-25T16:44:21-08:00,Sounds ... And Stuff Like That!!,Quincy Jones,1978,,,,,,
424481,2106739286,2026-01-25T16:45:29-08:00,Send Me Your Love,Kashif,1984,,,,,,
7321156,2106739472,2026-01-25T16:46:15-08:00,Soul Grand Prix ,Various,1976,,,,,,
5482558,2106739697,2026-01-25T16:47:06-08:00,A Taste Of Honey,A Taste Of Honey,1978,Outros,Em breve,Parcial,100,Sim,"Som ruim
Only Music"
35814406,2106740118,2026-01-25T16:48:46-08:00,Travessia,Milton Nascimento,2025,,,,,,
34768091,2106740570,2026-01-25T16:50:31-08:00,Síntese Do Lance,João Donato,2025,,,,,,
35700658,2106740767,2026-01-25T16:51:16-08:00,Robson Jorge & Lincoln Olivetti,Lincoln Olivetti & Robson Jorge,2025,,,,,,
6397520,2120778765,2026-03-04T16:14:08-08:00,Serginho Leite,Serginho Leite,1984,,,,,,
1670656,2120779334,2026-03-04T16:16:54-08:00,Rita Lee - Roberto De Carvalho,Rita Lee & Roberto,1982,,,,,,
2286432,2120781807,2026-03-04T16:30:21-08:00,Brass Construction IV,Brass Construction,1978,,,,,,
12536449,2120782738,2026-03-04T16:35:52-08:00,Livin' Inside Your Love,George Benson,1979,,,,,,
36570613,2120782979,2026-03-04T16:37:13-08:00,O Enigma Lexeu,Letieres Leite Quinteto,2026,,,,,,
3789842,2120880580,2026-03-05T03:58:21-08:00,Patota De Cosme,Zeca Pagodinho,1987,,,,,,
2698412,2137758635,2026-04-21T13:53:21-07:00,Álibi,Maria Bethânia,1978,Vinyl Head (WPP),,,,,
12430504,2137759079,2026-04-21T13:54:58-07:00,Reaching For Tomorrow,Switch (6),1980,,,,,,
4155277,2137759593,2026-04-21T13:56:56-07:00,"Elis, Essa Mulher",Elis Regina,1988,,,,,,
2664862,2137759769,2026-04-21T13:57:33-07:00,São Demais Os Perigos Desta Vida...,Toquinho & Vinicius,1972,,,,,,
2680905,2137760448,2026-04-21T13:59:53-07:00,Healing The Wounds,The Crusaders,1991,,,,,,
7673745,2137760586,2026-04-21T14:00:25-07:00,Walker (Original Motion Picture Soundtrack),Joe Strummer,1987,,,,,,
15637922,2137761055,2026-04-21T14:02:06-07:00,5 Anos De Canção,Geraldo Vandré,1977,,,,,,
2838497,2137761872,2026-04-21T14:04:48-07:00,Lulu,Lulu Santos,1986,,,,,,
3789842,2137762213,2026-04-21T14:05:54-07:00,Patota De Cosme,Zeca Pagodinho,1987,,,,,,
5743198,2137762969,2026-04-21T14:08:22-07:00,Sweet Love,Various,1988,,,,,,
602721,2137763473,2026-04-21T14:10:06-07:00,Palhaços E Reis,MPB4,1974,,,,,,
4675996,2137763657,2026-04-21T14:10:43-07:00,Pássaro Fugido,Antonio Carlos E Jocafi,1984,,,,,,
2428379,2137764248,2026-04-21T14:12:39-07:00,Bicho,Caetano Veloso,1977,,,,,,
5178341,2137766080,2026-04-21T14:18:17-07:00,A Bossa No Paramount,Various,1965,,,,,,
3015122,2137766471,2026-04-21T14:19:33-07:00,Malícia,Bebeto,1980,,,,,,
11829849,2137767459,2026-04-21T14:22:52-07:00,"Bahia, Sol Mar E Festa",Various,1989,,,,,,
1682407,2137767665,2026-04-21T14:23:33-07:00,Loco-Motivas (Trilha Sonora Original Da Novela),Various,1977,,,,,,
3630532,2137767891,2026-04-21T14:24:18-07:00,Sandra!,Sandra De Sá,1990,,,,,,
2686266,2137768029,2026-04-21T14:24:46-07:00,Extra,Gilberto Gil,1983,,,,,,
32557386,2137768379,2026-04-21T14:25:59-07:00,Em Algum Lugar Do Passado,Vavá & Aldinho,0,,,,,,
1986220,2137769494,2026-04-21T14:30:10-07:00,Themes From Hit TV Shows,The Pop Singers And Orchestra,0,,,,,,
10730067,2137769776,2026-04-21T14:31:16-07:00,Funky Soul & Black Music,Various,1977,,,,,,
11131098,2137770211,2026-04-21T14:33:00-07:00,Private Dancer,Tina Turner,1985,,,,,,
16206051,2137770370,2026-04-21T14:33:39-07:00,3. White Heat,Francy Boland And Orchestra,1978,,,,,,
2693391,2137770460,2026-04-21T14:33:58-07:00,Make It Big,Wham!,1984,,,,,,
2413935,2137770624,2026-04-21T14:34:18-07:00,Roda De Fogo (Internacional),Various,1986,,,,,,
10764276,2137771006,2026-04-21T14:35:47-07:00,História Da Música Popular Brasileira - Luiz Melodia & Djavan,Various,1984,,,,,,
36238906,2137772563,2026-04-21T14:41:41-07:00,Feitiço Caboclo,Dona Onete,2026,,,,,,
9693349,2137782706,2026-04-21T15:21:35-07:00,Off The Wall,Michael Jackson,1979,D&O (NKT),,,,,
